Key,Status,BlockedBy,Assignee,Worktree,Branch,PRURL,MergeCommit,Tests,DocsUpdated,LastUpdatedUTC,Notes
P1-00,done,,agent-1,wt-p1-00,ticket/P1-00,local-merge,2c3ecb8,pass,yes,2026-03-04T00:10:00Z,Merged to main; scaffold contracts in place; targeted tests passed with PYTHONPATH.
P1-01,done,P1-00,agent-1,wt-p1-01,ticket/P1-01,local-merge,6f6fd73,pass,yes,2026-03-04T00:35:00Z,Merged core add/search behavior and tests; full suite passed.
P1-02,done,P1-00,agent-1,wt-p1-02,ticket/P1-02,local-merge,cdbb2c0,pass,yes,2026-03-04T00:20:00Z,Merged metrics implementation and validation tests; full suite passed.
P1-03,done,P1-00,agent-1,wt-p1-03,ticket/P1-03,local-merge,3b1e437,pass,yes,2026-03-04T00:48:00Z,Merged snapshot save/load with metadata compatibility checks; full suite passed.
P1-04,done,P1-00,agent-1,wt-p1-04,ticket/P1-04,local-merge,5b5e9fb,pass,yes,2026-03-04T01:00:00Z,Merged query/status/snapshot API scaffold and tests; full suite passed.
P1-05,done,P1-00,agent-1,wt-p1-05,ticket/P1-05,local-merge,0bfd994,pass,yes,2026-03-04T01:30:00Z,Merged SQLite queue worker with /vectors and /jobs APIs; full suite passed.
P1-06,done,P1-00,agent-1,wt-p1-06,ticket/P1-06,local-merge,3176906,pass,yes,2026-03-04T01:45:00Z,Merged deterministic synthetic data, brute-force baseline, and recall@k QA utilities.
P1-07,done,P1-01|P1-03|P1-04|P1-05,agent-1,wt-p1-07,ticket/P1-07,local-merge,99a502a,pass,yes,2026-03-04T02:00:00Z,Merged operational CLI commands (build/serve/add/status/snapshot) with tests.
P1-08,in_progress,P1-04|P1-05|P1-06|P1-07,agent-1,wt-p1-08,ticket/P1-08, , ,pending,no,2026-03-04T02:02:00Z,Starting end-to-end integration coverage for build-serve-add-query flow.
P1-09,todo,P1-01|P1-04|P1-05,unassigned,wt-qa,, , ,pending,no,,
